phone_details,thePrice,Evaluation
"<span class=""a-size-base-plus a-color-base a-text-normal"">”«г”ждћ ћ«бя”н A04s, 128 ћнћ«, ‘—нЌ нд « ’«б, «”жѕ</span>","<span class=""a-price-whole"">6,200<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">5.0 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб ”«г”ждћ ћ«б«я”н A23° ”Џ…  ќ“нд 128 ћнћ«»«н ° —«г 4 ћнћ«»«н ° бжд ќжќн</span>","<span class=""a-price-whole"">6,060<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">3.9 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">”«г”ждћ ћ«бя”н A04s, 128 ћнћ«, ‘—нЌ н « ’«б , дЌ«”н</span>","<span class=""a-price-whole"">5,899<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">2.5 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб ”«г”ждћ ћ«б«я”н A04S° »–«я—… 64 ћнћ«»«н ° 4 ћнћ«»«н ° ‘—нЌ нд « ’«б - «”жѕ</span>","<span class=""a-price-whole"">5,190<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">4.0 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб ”г«—  ”«г”ждћ ћ«б«я”н M33 »дў«г 5G «дѕ—жнѕ° г”«Ќ… 128 ћнћ«»«н ° »–«я—… RAM 8 ћнћ«»«н ° »‘—нЌ нд « ’«б° «“—ё</span>","<span class=""a-price-whole"">8,299<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">4.0 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб ”«г”ждћ ћ«б«я”н A33 »‘»я… «бћнб «бќ«г” 5G бжд ќжќн «ж”жг SM-A336EZOHMEA</span>","<span class=""a-price-whole"">8,299<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">4.2 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб ”«г”ждћ ћ«б«я”н M33° гж»«нб –ян нЏгб »дў«г «дѕ—жнѕ »‘»я… «бћнб «бќ«г” 5G ж128 ћнћ«»«н  ж–«я—… —«г 8GB° бжд «ќ÷—</span>","<span class=""a-price-whole"">8,299<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">3.8 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб ”«г”ждћ ћ«б«я”н M33 »дў«г «дѕ—жнѕ ‘»я… «бћнб «бќ«г” 5G гЏ 128 ћнћ«»«н ° гж»«нб –ян »–«я—… —«г 8 ћнћ«»«н ° »‘—нЌ нд « ’«б° »дн</span>","<span class=""a-price-whole"">6,199<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">3.8 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб –ян ”«г”ждћ ћ«б«я”н A23 LTE «дѕ—жнѕ° 128 ћнћ«° –«я—… —«г 4 ћнћ«° ‘»я… «бћнб «б—«»Џ 4G° »‘—нЌ нд « ’«б° «»н÷</span>","<span class=""a-price-whole"">5,190<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">4.5 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">”«г”ждћ ћ«б«я”н A04 S - 64 ћнћ« - г“ѕжћ «б‘—нЌ… - бжд «»н÷</span>","<span class=""a-price-whole"">5,190<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">5.0 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">”«г”ждћ ћ«бя”н A04s, 64 ћнћ«, ‘—нЌ н « ’«б , дЌ«”н</span>","<span class=""a-price-whole"">5,349<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">4.1 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб ”«г”ждћ ћ«б«я”н M52 5G »‘—нЌ нд « ’«б° »–«я—… —«г 8 ћнћ«»«н ° ”Џ…  ќ“нд 128 ћнћ«»«н ° «“—ё Ё« Ќ</span>","<span class=""a-price-whole"">4,699<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">2.8 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб ”«г”ждћ A13 –«я—… —«г 4 ћнћ«»«н ° ”Џ…  ќ“нд 128 ћнћ«»«н ° бжд «»н÷</span>","<span class=""a-price-whole"">6,878<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">2.7 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб ”«г”ждћ ћ«б«я”н A13 »‘—нЌ нд « ’«б (”Џ…  ќ“нд 64 ћнћ«»«н / 4 ћнћ«»«н  —«г) - бжд «”жѕ</span>","<span class=""a-price-whole"">5,899<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">4.1 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб ”«г”ждћ ћ«б«я”н A53 »‘—нЌ н « ’«б - –«я—… ѕ«ќбн… 128 ћнћ«»«н ° —«г 8 ћнћ«»«н ° ‘»я… «бћнб «бќ«г” 5G° «”жѕ</span>","<span class=""a-price-whole"">12,687<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">4.0 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб ”«г”ждћ ћ«б«я”н A23 »‘—нЌ нд « ’«б° –«я—… —«г 6 ћнћ«»«н ° –«я—… ѕ«ќбн… 128 ћнћ«»«н ° ‘»я… «бћнб «б—«»Џ 4G° бжд «“—ё</span>","<span class=""a-price-whole"">5,478<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">1.0 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб ”«г”ждћ ћ«б«я”н A04 S »”Џ…  ќ“ндн… 128 ћнћ«»«н  ж‘—нЌ нд « ’«б жбжд «»н÷</span>","<span class=""a-price-whole"">35,990<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">3.8 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб ”«г”ждћ ћ«б«я”н A52 »‘—нЌ нд « ’«б - 6.5 »ж’…° –«я—… —«г 8 ћнћ«»«н ° –«я—… ѕ«ќбн… 256 ћнћ«»«н  - «“—ё</span>","<span class=""a-price-whole"">5,398<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">4.4 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб ”«г”ждћ ћ«б«я”н A13 LTE «б–ян° дў«г  ‘џнб «дѕ—жнѕ° 128 ћнћ«»«н ° –«я—… RAM ”Џ… 4 ћнћ«»«н ° ‘—нЌ нд « ’«б° «“—ё Ё« Ќ</span>","<span class=""a-price-whole"">5,250<span class=""a-price-decimal"" dir=""ltr"">.</span>э</span>","<span class=""a-icon-alt"">4.3 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб –ян ”«г”ждћ ћ«б«я”н A73 5G »дў«г «дѕ—жнѕ ж–«я—… ѕ«ќбн… 128 ћнћ«»«н  ж–«я—… —«г 8 ћнћ«»«н  ж‘—нЌ нд « ’«б° «»н÷ (д”ќ… «б«г«—«  «бЏ—»н… «бг Ќѕ…)</span>","6,200.э","<span class=""a-icon-alt"">4.0 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">”«г”ждћ ћ«б«я”н A73 «бћнб «бќ«г” «дѕ—жнѕ «беж« Ё «б–ян…° 256 ћнћ«° —«г 8 ћнћ«° гж»«нб гЌгжб Ћд«∆н «б‘—нЌ…° «»н÷ —«∆Џ (д”ќ… «б«г«—«  «бЏ—»н… «бг Ќѕ…)</span>","6,060.э","<span class=""a-icon-alt"">4.6 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб ”«г”ждћ ћ«б«я”н «”22 «б —« »‘—нЌ н « ’«б Ё«д жг ќг—н 12 ћнћ« —«г 256 ћнћ« «бћнб «бќ«г”</span>","5,899.э","<span class=""a-icon-alt"">3.0 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб ”«г”ждћ A13 4 ћнћ«»«н  —«г° ”Џ…  ќ“нд 128 ћнћ«»«н  - «”жѕ</span>","5,190.э","<span class=""a-icon-alt"">4.2 гд 5 дћжг</span>"
"<span class=""a-size-base-plus a-color-base a-text-normal"">гж»«нб ”«г”ждћ ћ«б«я”н A03 »‘—нЌ нд « ’«б ж‘«‘… 6.5 »ж’… ж–«я—… ѕ«ќбн… 128 ћнћ«»«н  ж–«я—… —«г 4 ћнћ«»«н  —«г° ‘»я… «бћнб «б—«»Џ 4G LTE - бжд «”жѕ</span>","8,299.э","<span class=""a-icon-alt"">4 дћжг ж√яЋ—</span>"
"”«г”ждћ ћ«бя”н A04s, 128 ћнћ«, ‘—нЌ нд « ’«б, «”жѕ","8,299.э","<span class=""a-icon-alt"">3 дћжг ж√яЋ—</span>"
гж»«нб ”«г”ждћ ћ«б«я”н A23° ”Џ…  ќ“нд 128 ћнћ«»«н ° —«г 4 ћнћ«»«н ° бжд ќжќн,"8,299.э","<span class=""a-icon-alt"">дћг «д ж√яЋ—</span>"
"”«г”ждћ ћ«бя”н A04s, 128 ћнћ«, ‘—нЌ н « ’«б , дЌ«”н","6,199.э","<span class=""a-icon-alt"">дћг… ж√яЋ—</span>"
гж»«нб ”«г”ждћ ћ«б«я”н A04S° »–«я—… 64 ћнћ«»«н ° 4 ћнћ«»«н ° ‘—нЌ нд « ’«б - «”жѕ,"5,190.э",5.0 гд 5 дћжг
гж»«нб ”г«—  ”«г”ждћ ћ«б«я”н M33 »дў«г 5G «дѕ—жнѕ° г”«Ќ… 128 ћнћ«»«н ° »–«я—… RAM 8 ћнћ«»«н ° »‘—нЌ нд « ’«б° «“—ё,"5,190.э",3.9 гд 5 дћжг
гж»«нб ”«г”ждћ ћ«б«я”н A33 »‘»я… «бћнб «бќ«г” 5G бжд ќжќн «ж”жг SM-A336EZOHMEA,"5,349.э",2.5 гд 5 дћжг
гж»«нб ”«г”ждћ ћ«б«я”н M33° гж»«нб –ян нЏгб »дў«г «дѕ—жнѕ »‘»я… «бћнб «бќ«г” 5G ж128 ћнћ«»«н  ж–«я—… —«г 8GB° бжд «ќ÷—,"4,699.э",4.0 гд 5 дћжг
гж»«нб ”«г”ждћ ћ«б«я”н M33 »дў«г «дѕ—жнѕ ‘»я… «бћнб «бќ«г” 5G гЏ 128 ћнћ«»«н ° гж»«нб –ян »–«я—… —«г 8 ћнћ«»«н ° »‘—нЌ нд « ’«б° »дн,"6,878.э",4.0 гд 5 дћжг
гж»«нб –ян ”«г”ждћ ћ«б«я”н A23 LTE «дѕ—жнѕ° 128 ћнћ«° –«я—… —«г 4 ћнћ«° ‘»я… «бћнб «б—«»Џ 4G° »‘—нЌ нд « ’«б° «»н÷,"5,899.э",4.2 гд 5 дћжг
”«г”ждћ ћ«б«я”н A04 S - 64 ћнћ« - г“ѕжћ «б‘—нЌ… - бжд «»н÷,"12,687.э",3.8 гд 5 дћжг
"”«г”ждћ ћ«бя”н A04s, 64 ћнћ«, ‘—нЌ н « ’«б , дЌ«”н","5,478.э",3.8 гд 5 дћжг
гж»«нб ”«г”ждћ ћ«б«я”н M52 5G »‘—нЌ нд « ’«б° »–«я—… —«г 8 ћнћ«»«н ° ”Џ…  ќ“нд 128 ћнћ«»«н ° «“—ё Ё« Ќ,"35,990.э",4.5 гд 5 дћжг
гж»«нб ”«г”ждћ A13 –«я—… —«г 4 ћнћ«»«н ° ”Џ…  ќ“нд 128 ћнћ«»«н ° бжд «»н÷,"5,398.э",5.0 гд 5 дћжг
гж»«нб ”«г”ждћ ћ«б«я”н A13 »‘—нЌ нд « ’«б (”Џ…  ќ“нд 64 ћнћ«»«н / 4 ћнћ«»«н  —«г) - бжд «”жѕ,"5,250.э",4.1 гд 5 дћжг
гж»«нб ”«г”ждћ ћ«б«я”н A53 »‘—нЌ н « ’«б - –«я—… ѕ«ќбн… 128 ћнћ«»«н ° —«г 8 ћнћ«»«н ° ‘»я… «бћнб «бќ«г” 5G° «”жѕ,,2.8 гд 5 дћжг
гж»«нб ”«г”ждћ ћ«б«я”н A23 »‘—нЌ нд « ’«б° –«я—… —«г 6 ћнћ«»«н ° –«я—… ѕ«ќбн… 128 ћнћ«»«н ° ‘»я… «бћнб «б—«»Џ 4G° бжд «“—ё,,2.7 гд 5 дћжг
гж»«нб ”«г”ждћ ћ«б«я”н A04 S »”Џ…  ќ“ндн… 128 ћнћ«»«н  ж‘—нЌ нд « ’«б жбжд «»н÷,,4.1 гд 5 дћжг
гж»«нб ”«г”ждћ ћ«б«я”н A52 »‘—нЌ нд « ’«б - 6.5 »ж’…° –«я—… —«г 8 ћнћ«»«н ° –«я—… ѕ«ќбн… 256 ћнћ«»«н  - «“—ё,,4.0 гд 5 дћжг
гж»«нб ”«г”ждћ ћ«б«я”н A13 LTE «б–ян° дў«г  ‘џнб «дѕ—жнѕ° 128 ћнћ«»«н ° –«я—… RAM ”Џ… 4 ћнћ«»«н ° ‘—нЌ нд « ’«б° «“—ё Ё« Ќ,,1.0 гд 5 дћжг
,,3.8 гд 5 дћжг
,,4.4 гд 5 дћжг
,,4.3 гд 5 дћжг
